1000,10,1,2593.00
1000,10,2,481.00
1000,10,4,1243.00
1000,10,8,1734.00
1000,10,16,3828.00
1000,50,1,625.00
1000,50,2,604.00
1000,50,4,1945.00
1000,50,8,1260.00
1000,50,16,2360.00
1000,100,1,944.00
1000,100,2,653.00
1000,100,4,4522.00
1000,100,8,1762.00
1000,100,16,7848.00
1000,200,1,1393.00
1000,200,2,792.00
1000,200,4,1002.00
1000,200,8,1915.00
1000,200,16,7634.00
1000,500,1,1859.00
1000,500,2,1577.00
1000,500,4,1409.00
1000,500,8,1414.00
1000,500,16,2263.00
5000,10,1,429.00
5000,10,2,387.00
5000,10,4,534.00
5000,10,8,1397.00
5000,10,16,1843.00
5000,50,1,918.00
5000,50,2,961.00
5000,50,4,1111.00
5000,50,8,1166.00
5000,50,16,2025.00
5000,100,1,1820.00
5000,100,2,1190.00
5000,100,4,1110.00
5000,100,8,1565.00
5000,100,16,3779.00
5000,200,1,3194.00
5000,200,2,3398.00
5000,200,4,1659.00
5000,200,8,3264.00
5000,200,16,2903.00
5000,500,1,11714.00
5000,500,2,5060.00
5000,500,4,4137.00
5000,500,8,6212.00
5000,500,16,10375.00
10000,10,1,950.00
10000,10,2,885.00
10000,10,4,1892.00
10000,10,8,2108.00
10000,10,16,3030.00
10000,50,1,3648.00
10000,50,2,5235.00
10000,50,4,2240.00
10000,50,8,3150.00
10000,50,16,3373.00
10000,100,1,5846.00
10000,100,2,2567.00
10000,100,4,2361.00
10000,100,8,3351.00
10000,100,16,3872.00
10000,200,1,9039.00
10000,200,2,4975.00
10000,200,4,3755.00
10000,200,8,12911.00
10000,200,16,6554.00
10000,500,1,20216.00
10000,500,2,9919.00
10000,500,4,8923.00
10000,500,8,10705.00
10000,500,16,11063.00
20000,10,1,1302.00
20000,10,2,1304.00
20000,10,4,2655.00
20000,10,8,1673.00
20000,10,16,2989.00
20000,50,1,4844.00
20000,50,2,3120.00
20000,50,4,2271.00
20000,50,8,2863.00
20000,50,16,6457.00
20000,100,1,8255.00
20000,100,2,4444.00
20000,100,4,4617.00
20000,100,8,4520.00
20000,100,16,6749.00
20000,200,1,16772.00
20000,200,2,9599.00
20000,200,4,7422.00
20000,200,8,9186.00
20000,200,16,12169.00
20000,500,1,38780.00
20000,500,2,27094.00
20000,500,4,15578.00
20000,500,8,18196.00
20000,500,16,18370.00
50000,10,1,2392.00
50000,10,2,2653.00
50000,10,4,1636.00
50000,10,8,2060.00
50000,10,16,2880.00
50000,50,1,10078.00
50000,50,2,10220.00
50000,50,4,4348.00
50000,50,8,5036.00
50000,50,16,7026.00
50000,100,1,20837.00
50000,100,2,10823.00
50000,100,4,9248.00
50000,100,8,9218.00
50000,100,16,10605.00
50000,200,1,38054.00
50000,200,2,22843.00
50000,200,4,18071.00
50000,200,8,23246.00
50000,200,16,19250.00
50000,500,1,96412.00
50000,500,2,55947.00
50000,500,4,42410.00
50000,500,8,49006.00
50000,500,16,43691.00
